"CNTRYID","CNT","Gender","Computers_at_home","Hours_maths_school","Hours_maths_at_home","Hours_science_school","Hours_science_at_home","PV1MATH","PV1READ","PV1SCIE"
"Albania","Albania","Male",NA,NA,NA,NA,NA,292.45,171.391,332.379
"Albania","Albania","Male",NA,NA,NA,NA,NA,332.886,407.395,424.663
"Albania","Albania","Female",NA,NA,NA,NA,NA,424.149,386.569,471.535
"Albania","Albania","Male",NA,NA,NA,NA,NA,410.335,359.595,375.738
"Albania","Albania","Female",NA,NA,NA,NA,NA,342.749,462.712,459.064
"Albania","Albania","Female",NA,NA,NA,NA,NA,423.72,355.041,359.162
"Albania","Albania","Male",NA,NA,NA,NA,NA,494.215,454.678,453.825
"Albania","Albania","Female",NA,NA,NA,NA,NA,349.652,394.914,362.195
"Albania","Albania","Male",NA,NA,NA,NA,NA,457.714,509.941,492.449
"Albania","Albania","Male",NA,NA,NA,NA,NA,279.453,378.806,366.2
"Albania","Albania","Male",NA,NA,NA,NA,NA,459.896,357.833,440.911
"Albania","Albania","Male",NA,NA,NA,NA,NA,441.176,484.731,418.336
"Albania","Albania","Female",NA,NA,NA,NA,NA,361.886,367.546,408.126
"Albania","Albania","Male",NA,NA,NA,NA,NA,343.92,256.467,348.174
"Albania","Albania","Female",NA,NA,NA,NA,NA,402.053,325.256,334.051
"Albania","Albania","Female",NA,NA,NA,NA,NA,431.542,385.845,423.28
"Albania","Albania","Female",NA,NA,NA,NA,NA,484.898,540.716,515.586
"Albania","Albania","Female",NA,NA,NA,NA,NA,302.612,503.169,446.93
"Albania","Albania","Female",NA,NA,NA,NA,NA,529.078,566.336,533.334
