"CNT","Gender","Computers_at_home","Hours_maths_school","Hours_maths_at_home","Hours_science_school","Hours_science_at_home","PV1MATH","PV1READ","PV1SCIE"
"United Kingdom","Male","2","3","8","4","4",461.965,475.799,454.52
"United Kingdom","Male","2","3","3","6","6",401.27,438.372,397.399
"United Kingdom","Male",">=3","3","10","4","9",484.124,432.216,482.013
"United Kingdom","Male",">=3","3","2","5","2",507.399,483.976,499.331
"United Kingdom","Male",">=3","3","1","4",NA,454.87,527.469,453.863
"United Kingdom","Male","2","3","10","4","2",414.825,484.396,518.441
"United Kingdom","Male","2","3","15","3","2",561.783,616.528,611.457
"United Kingdom","Male",">=3","3","20","7","20",610.953,626.211,584.912
"United Kingdom","Female",">=3","4","1","5","1",368.073,398.657,403.58
"United Kingdom","Female","2","5","20","4","5",490.33,467.554,446.846
"United Kingdom","Female","1","5","5","5","5",389.961,374.492,378.196
"United Kingdom","Female","0","5","5","4","4",445.665,334.445,450.273
"United Kingdom","Female","2","4","6","6","9",498.729,452.969,527.506
"United Kingdom","Female",">=3","5","6","4","6",455.327,475.328,456.176
"United Kingdom","Female","1","4","4","3","3",301.953,255.188,333.133
"United Kingdom","Female","1","4","5","7","9",508.561,458.327,466.799
"United Kingdom","Female",">=3","4","5","4","4",470.889,497.25,493.908
"United Kingdom","Female","2","4","5","25",NA,458.895,429.776,432.41
"United Kingdom","Female","1","5",NA,"4","10",456.185,380.029,416.53
"United Kingdom","Male",">=3","4","4","6","6",522.414,466.865,509.597
"United Kingdom","Male","2","4","14","4","14",494.086,446.886,487.281
"United Kingdom","Male","2","5","12","4","12",396.562,382,336.958
"United Kingdom","Male",">=3","4","8","6","6",458.475,452.039,463.114
"United Kingdom","Male","2","5","18","5",NA,401.551,329.017,357.035
"United Kingdom","Male",">=3","4","7","5","8",608.135,527.162,604.113
"United Kingdom","Male",">=3","5","5","6","6",484.737,421.755,463.936
"United Kingdom","Male","2","5","6","4","6",387.424,290.564,306.633
"United Kingdom","Male","2",NA,NA,NA,NA,436.268,426.224,427.777
"United Kingdom","Male",NA,NA,NA,NA,NA,505.56,422.233,497.303
"United Kingdom","Male",">=3","4","6","7","9",482.852,485.804,492.706
"United Kingdom","Male","2","5","5","5","5",406.635,350.789,417.693
"United Kingdom","Male",">=3","5","5","4","4",364.212,372.787,332.622
"United Kingdom","Male","1","5","18","4","1",360.435,405.283,352.027
"United Kingdom","Male","2","4","3","4","3",424.676,448.093,405.26
"United Kingdom","Female",">=3","9",NA,"12","2",555.593,647.857,654.924
"United Kingdom","Female",">=3","4","1","4","1",488.863,528.509,516.172
"United Kingdom","Female",">=3","5","2","4","3",479.655,497.993,506.658
"United Kingdom","Female",">=3","4","3","4","4",624.458,550.667,511.092
"United Kingdom","Female",">=3","4","1","4","3",606.369,635.019,634.678
"United Kingdom","Female",">=3","4","5","5","4",523.625,498.286,491.011
"United Kingdom","Female",">=3","4","2","8","1",585.272,635.957,580.872
"United Kingdom","Female",">=3","4","5","4","4",435.615,484.974,471.327
"United Kingdom","Female","1","4","3","6","1",588.321,679.385,667.807
"United Kingdom","Female",">=3","4","4","4","3",533.175,519.864,503.435
"United Kingdom","Female",">=3","4","1","6","1",473.316,423.932,380.901
"United Kingdom","Female","0","4","2","7","8",498.896,603.087,577.532
"United Kingdom","Female",">=3","4","2","7","4",592.642,637.202,653.746
"United Kingdom","Male",">=3","4","1","3","1",482.201,392.679,451.615
"United Kingdom","Male",">=3","4","2","4","2",523.001,459.327,495.825
"United Kingdom","Male",">=3","4","4","4","4",529.284,502.513,515.148
"United Kingdom","Male",">=3","6","13","6","13",400.03,403.718,334.923
"United Kingdom","Male",">=3","4","2","6","2",554.532,585.906,548.822
"United Kingdom","Male","1","7","6","7","6",448.671,434.333,431.543
"United Kingdom","Male",">=3","4","3","2","3",558.262,554.035,577.078
"United Kingdom","Male",">=3","4","1","7","1",596.073,609.229,625.621
"United Kingdom","Male",">=3","3","4","4","6",468.776,414.5,435.202
"United Kingdom","Male","2","4","2","4","3",643.256,507.333,591.19
"United Kingdom","Male",">=3","4","2","5","2",448.916,429.238,414.516
"United Kingdom","Male",">=3","4","3","3","2",463.595,527.978,468.452
"United Kingdom","Male",">=3","4","5","4","3",461.797,462.214,432.882
"United Kingdom","Male",">=3","4","2","7","3",558.651,464.962,530.349
"United Kingdom","Male","1","5","2","4","2",554.144,530.256,521.876
"United Kingdom","Male","1","5","2","5","1",561.016,487.259,543.269
"United Kingdom","Male","2","4","1","4","1",548.831,601.092,577.564
"United Kingdom","Female","1","5","8","0",NA,435.661,509.012,452.285
"United Kingdom","Female","1","5","2","5","5",412.68,449.908,403.258
"United Kingdom","Female",">=3","5","4","4","4",464.732,464.227,452.32
"United Kingdom","Female","2","5","2","8","5",582.181,621.37,657.805
"United Kingdom","Female","2","4","5","9","7",583.857,550.468,559.145
"United Kingdom","Female","1","5",NA,"5","0",301.401,381.308,312.021
"United Kingdom","Female",">=3","5",NA,"6",NA,341.433,367.459,423.62
"United Kingdom","Female","1","5","4","5","4",391.52,472.531,427.244
"United Kingdom","Female","1","5","4","9","6",483.756,485.958,436.069
"United Kingdom","Female","1","5","5","6","5",366.571,432.043,434.633
"United Kingdom","Male",">=3","6","2","0",NA,483.934,481.255,432.617
"United Kingdom","Male","2","5","3","8","4",397.174,391.599,395.049
"United Kingdom","Male",">=3","5","3","9","13",272.692,443.718,319.301
"United Kingdom","Male","1","4",NA,"0",NA,431.996,398.516,405.975
"United Kingdom","Male","2","5","5","8","9",501.78,522.184,533.372
"United Kingdom","Male","0","4","4","0",NA,368.631,387.42,368.647
"United Kingdom","Male","2","4","3","5","3",364.78,353.79,403.644
"United Kingdom","Male",">=3","5","1","5","1",448.242,461.462,431.272
"United Kingdom","Male","1","3","1","3","2",491.967,490.557,481.299
"United Kingdom","Male","2","5","1","5","1",440.871,548.739,513.995
"United Kingdom","Female",">=3","3","3","4","4",456.376,412.486,419.582
"United Kingdom","Male",">=3","7","1","8","7",548.379,503.644,529.161
"United Kingdom","Male",">=3","3","1","4","1",542.128,568.964,538.501
"United Kingdom","Female","2","3","1","3","1",317.011,408.216,366.686
"United Kingdom","Male",">=3","4","4","5","5",404.69,465.38,437.191
"United Kingdom","Male","1","5","2","5","3",483.244,413.905,433.236
"United Kingdom","Male","2","4","18","4","19",432.589,491.947,423.475
"United Kingdom","Female","1","4","4","5","5",384.173,339.321,354.089
"United Kingdom","Female","0","3","3","4","0",423.02,394.005,424.222
"United Kingdom","Female",">=3",NA,NA,NA,NA,382.606,395.825,377.356
"United Kingdom","Male",">=3","3","3","3","3",292.853,252.855,259.802
"United Kingdom","Male","2","5","2","9","2",478.635,511.907,471.757
"United Kingdom","Male","1",NA,"21",NA,"20",278.615,276.48,303.423
"United Kingdom","Female","2","4","1","4","0",390.234,402.491,423.516
"United Kingdom","Male","2","3","3","3","3",390.597,295.585,359.418
"United Kingdom","Male","2","4","4","5","5",500.562,507.396,515.67
"United Kingdom","Female",NA,"3","1","4","1",478.93,467.203,528.131
"United Kingdom","Male",">=3",NA,NA,NA,NA,382.328,390.496,390.33
"United Kingdom","Male",">=3","3",NA,NA,NA,373.119,315.03,337.597
"United Kingdom","Male",">=3","4","8","4","8",409.251,436.577,478.206
"United Kingdom","Female","1","9","5","9","3",446.36,459.093,417.887
"United Kingdom","Female","1","3","3","3","4",354.45,414.403,353.874
"United Kingdom","Female","2","3","3","4","4",424.466,391.526,458.029
"United Kingdom","Female","1","3","4","5","3",489.332,595.565,490.698
"United Kingdom","Female","1","3","1","4","1",553.534,624.742,617.815
"United Kingdom","Female","2","4","8","4","0",502.473,580.85,569.802
"United Kingdom","Female",">=3","3","0","4","1",513.614,579.548,554.471
"United Kingdom","Female","2","3","6","4",NA,596.114,531.451,599.705
"United Kingdom","Female","1","3","3","4","4",571.007,579.026,614.924
"United Kingdom","Female","2",NA,"2",NA,"1",436.187,440.682,472.511
"United Kingdom","Female",">=3","4","4","4","4",494.153,439.307,448.573
"United Kingdom","Female","2",NA,NA,NA,NA,405.643,364.031,399.892
"United Kingdom","Female","2","3","3","4","4",603.787,593.418,616.431
"United Kingdom","Male",">=3","3","4","4","4",543.862,552.543,523.278
"United Kingdom","Male","1","3","3","4","4",443.504,441.378,419.116
"United Kingdom","Male",">=3","4","7","3","4",568.712,646.131,619.538
"United Kingdom","Male",">=3","4","1","4","2",477.612,367.478,428.829
"United Kingdom","Male",">=3","4","1","4",NA,459.531,415.087,494.253
"United Kingdom","Male",">=3","3",NA,"4",NA,407.803,407.987,403.417
"United Kingdom","Male",">=3","3",NA,"3",NA,559.56,565.951,566.225
"United Kingdom","Male","2","3","8","4","9",461.608,470.09,401.262
"United Kingdom","Male",">=3","11","3","4","5",364.503,269.313,340.065
"United Kingdom","Male",">=3","4","0","3","2",490.141,567.26,601.144
"United Kingdom","Male","1","4","1","4","1",511.165,507.578,481.929
"United Kingdom","Female","1","4","7","6","7",484.186,512.593,489.916
"United Kingdom","Male","1","6","3","9","3",465.42,493.417,532.002
"United Kingdom","Male",NA,NA,NA,NA,NA,445.319,393.33,434.327
"United Kingdom","Female","1","4","5","5","3",596.02,674.907,620.674
"United Kingdom","Female","1","3","3","3","1",443.022,455.906,486.293
"United Kingdom","Female","2","3","8","6","6",472.868,455.241,477.253
"United Kingdom","Female",">=3","5","6","5","4",434.278,484.447,473.558
"United Kingdom","Female",">=3","3","5","3","5",458.799,451.326,502.309
"United Kingdom","Female","2","3","8","6","10",546.363,588.974,492.112
"United Kingdom","Female","2","4","2","4","2",423.638,407.662,438.105
"United Kingdom","Female","1","3","12","3","4",458.094,552.628,490.495
"United Kingdom","Female",NA,"5","14","4","6",502.64,538.381,532.66
"United Kingdom","Female","2","7","1","4","1",476.226,513.071,566.497
"United Kingdom","Male",">=3","4","6","3","6",506.002,523.642,528.611
"United Kingdom","Male","1","4","2","4","2",490.725,473.441,512.741
"United Kingdom","Male","2","4","7","3","7",564.786,585.202,601.26
"United Kingdom","Male","2","4","1","6","2",551.309,569.075,572.692
"United Kingdom","Male",">=3","3",NA,"3",NA,481.647,464.694,432.534
"United Kingdom","Male",">=3",NA,"0","1","0",417.214,487.878,432.335
"United Kingdom","Male","2","4","8","3","8",544.744,594.683,572.969
"United Kingdom","Male",">=3","4","4","4","4",413.929,459.775,412.159
"United Kingdom","Male","2","4","3","6","5",558.004,563.976,590.358
"United Kingdom","Male","2","4","3","5","3",514.858,455.57,489.572
"United Kingdom","Male","1","4","4","3","2",442.346,453.269,447.935
"United Kingdom","Male","2","3","2","4","2",556.72,522.909,604.721
"United Kingdom","Male","2","7","9","7","8",459.555,469.46,455.828
"United Kingdom","Female","0","4","4","4","4",526.128,481.918,536.762
"United Kingdom","Female","0","4","4","4","4",451.557,481.25,425.525
"United Kingdom","Female",NA,NA,NA,NA,NA,381.459,365.706,379.556
"United Kingdom","Female",">=3","4","10","4","2",457.433,469.591,468.164
"United Kingdom","Female","1","4","4","4","4",423.705,494.78,455.484
"United Kingdom","Female","2","4","9","4","10",443.533,505.097,433.8
"United Kingdom","Female",">=3","4",NA,"4",NA,489.832,445.495,501.111
"United Kingdom","Female",">=3","4","2","4","1",457.418,508.182,494.401
"United Kingdom","Female",">=3","4","6","4","4",472.501,490.504,491.326
"United Kingdom","Female","1","3","8","3","6",344.63,382.725,344.97
"United Kingdom","Female","2","4","5","4",NA,405.06,411.526,432.352
"United Kingdom","Female",">=3","4","30","3","30",363.324,398.426,370.047
"United Kingdom","Female",">=3","4","28","6","3",512.285,481.063,530.683
"United Kingdom","Female",">=3","4","4","6","1",455.433,572.827,583.582
"United Kingdom","Female",">=3","4","4","6","3",484.264,556.785,538.006
"United Kingdom","Male","1","4","4","4","4",479.137,486.478,503.876
"United Kingdom","Male",">=3","4","5","4",NA,499.714,530.752,505.945
"United Kingdom","Male","2","4","2","4","1",405.437,451.489,444.377
